what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440125917351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440125964792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440125965034
error,log,,,"Could not retrieve interfaces",1440125973118
error,log,,,"Could not retrieve interfaces",1440125973122
error,log,,,"Could not retrieve interfaces",1440125973124
error,log,,,"Could not retrieve interfaces",1440125973130
error,log,,,"Could not retrieve declared methods",1440125973135
error,log,,,"Could not retrieve declared methods",1440125973136
error,log,,,"Could not retrieve declared methods",1440125973138
error,log,,,"Could not retrieve declared methods",1440125973140
error,log,,,"Could not retrieve interfaces",1440125973145
error,log,,,"Could not retrieve interfaces",1440125973147
error,log,,,"Could not retrieve declared methods",1440125973150
error,log,,,"Could not retrieve declared methods",1440125973153
error,log,,,"Could not retrieve interfaces",1440125973157
error,log,,,"Could not retrieve interfaces",1440125973164
error,log,,,"Could not retrieve interfaces",1440125973166
error,log,,,"Could not retrieve interfaces",1440125973168
error,log,,,"Could not retrieve interfaces",1440125973170
error,log,,,"Could not retrieve interfaces",1440125973171
error,log,,,"Could not retrieve declared methods",1440125973173
error,log,,,"Could not retrieve declared methods",1440125973174
error,log,,,"Could not retrieve interfaces",1440125973175
error,log,,,"Could not retrieve declared methods",1440125973178
error,log,,,"Could not retrieve interfaces",1440125973180
error,log,,,"Could not retrieve interfaces",1440125973181
error,log,,,"Could not retrieve interfaces",1440125973183
error,log,,,"Could not retrieve interfaces",1440125973184
error,log,,,"Could not retrieve declared methods",1440125973188
error,log,,,"Could not retrieve interfaces",1440125973196
error,log,,,"Could not retrieve interfaces",1440125973199
error,log,,,"Could not retrieve declared methods",1440125973224
error,log,,,"Could not retrieve declared methods",1440125973237
error,log,,,"Could not retrieve declared methods",1440125973240
error,log,,,"Could not retrieve interfaces",1440125973261
error,log,,,"Could not retrieve interfaces",1440125973265
error,log,,,"Could not retrieve declared methods",1440125973273
error,log,,,"Designer [1.3.0.r37x201202021417.201508201448]: new JLabel(""New label"")",1440125984541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440125988155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440125988234
error,log,,,"Designer [1.3.0.r37x201202021417.201508201448]: new JLabel(""New label"")",1440125988244
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1440125995720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1440125996515
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440125997295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440125997623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440125997926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440125998247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440125998564
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440126000402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440126001526
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1440126044187
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1440126045208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1440126046792
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440126048904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440126050339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126053775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440126067309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440126075345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440126077822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440126080463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440126080847
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1440126089071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1440126100812
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1440126103020
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440126108173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440126109395
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1440126121178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126122247
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440126123284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126123582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440126136707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126173532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126174088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126174122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126174157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126174188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126174222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126174256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126174289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126174322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126174510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126174663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440126174822
