what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1440469466867
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1440469466868
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1440469466880
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1440469466881
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1440469466881
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1440469466902
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1440469466902
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1440469466903
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1440469466950
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1440469466950
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1440469466951
started,bundle,org.eclipse.wb.swing,1.3.0.r37x201202021417,"org.eclipse.wb.swing",1440469466967
started,bundle,org.eclipse.wb.swing.databinding,1.3.0.r37x201202021417,"org.eclipse.wb.swing.databinding",1440469466968
os,sysinfo,,,"win32",1440469466971
arch,sysinfo,,,"x86_64",1440469466971
ws,sysinfo,,,"win32",1440469466971
locale,sysinfo,,,"pt_BR",1440469466971
processors,sysinfo,,,"4",1440469466971
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1440469466971
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1440469466971
java.specification.name,sysinfo,,,"Java Platform API Specification",1440469466971
java.specification.vendor,sysinfo,,,"Oracle Corporation",1440469466971
java.specification.version,sysinfo,,,"1.8",1440469466971
java.vendor,sysinfo,,,"Oracle Corporation",1440469466971
java.version,sysinfo,,,"1.8.0_45",1440469466971
java.vm.info,sysinfo,,,"mixed mode",1440469466971
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1440469466972
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1440469466972
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1440469466972
java.vm.specification.version,sysinfo,,,"1.8",1440469466972
java.vm.vendor,sysinfo,,,"Oracle Corporation",1440469466972
java.vm.version,sysinfo,,,"25.45-b02",1440469466972
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1440469466988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440469770554
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1440469773408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440469805322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440469807685
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440469808318
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1440469810240
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1440469811525
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1440469811548
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1440469811557
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1440469811574
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1440469811618
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1440469811648
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1440469811653
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1440469811654
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1440469811658
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1440469811663
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1440469811707
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1440469811708
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1440469811795
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1440469811895
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1440469812054
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1440469812108
